"","acne","actinic keratosis","acute myeloid leukemia","adrenal adenoma","alcoholism","allergic asthma","allergic contact dermatitis","alopecia areata","alzheimer's disease","aortic aneurysm","asthma","astrocytoma","atopic dermatitis","autism","bacterial meningitis","bipolar disorder","bladder cancer","breast lobular carcinoma","cerebral palsy","cervical squamous cell carcinoma","cervical intraepithelial neoplasia","chronic lymphocytic leukemia","chronic obstructive pulmonary disease","colorectal adenocarcinoma","crohn's disease","cystic fibrosis","dengue fever","dilated cardiomyopathy","discoid lupus erythematosus","down syndrome","duchenne muscular dystrophy","emphysema","endometrial carcinoma","endometriosis","gastric adenocarcinoma","head and neck squamous cell carcinoma","chronic hepatitis b (carrier)","chronic hepatitis c","hepatocellular carcinoma","hiv","hodgkin's lymphoma","huntington's disease","idiopathic pulmonary fibrosis","influenza","irritable bowel syndrome","ischemic cardiomyopathy","ischemic stroke","juvenile idiopathic arthritis","leukopenia","limb-girdle muscular dystrophy","non-small cell lung carcinoma","major depressive disorder","teratozoospermia","malignant pleural mesothelioma","measles","multiple sclerosis","myocardial infarction","nasopharyngeal carcinoma","obesity","esophageal squamous cell carcinoma","osteoarthritis","osteoporosis","pancreatic cancer","parkinson's disease","placental malaria","polycystic ovary syndrome","preeclampsia","prolactinoma","prostate cancer","psoriasis","pulmonary arterial hypertension","clear-cell renal cell carcinoma","rheumatoid arthritis","rosacea","sarcoidosis","sepsis","sickle cell disease","systemic lupus erythematosus","essential thrombocythemia","thyroid carcinoma","type 1 diabetes mellitus","type 2 diabetes mellitus","ulcerative colitis","vulvar intraepithelial neoplasia"
"acne",NA,0.0741110216569318,0.00530569392173208,0.00871013243006122,0.00780493540522246,0.0200480853499513,0.14837768076114,0.0526501312737531,0.00675459728696148,0.00504848226926077,0.0152468515227887,0.0105769274067813,0.162703793313151,0.0132189798334738,0.0142038380735799,0.00797376188256113,0.00664600153278036,0.00544704359273862,0.00759490586928057,0.0148793172989487,0.0130499015483937,0.00738568469022772,0.01582802993307,0.0145448246721696,0.0767587193455721,0.0127991857128722,0.00907511599685752,0.0104481204328745,0.0819869565534129,0.00910924840296074,0.0166240636722833,0.0090792373050337,0.0120094117816755,0.00788335952010816,0.00751038269863611,0.0112145986501897,0.00732402516168416,0.00969704046637225,0.00880628620217198,0.00511681675377445,0.00471232839416455,0.00571045044122814,0.010327820741126,0.016342758207732,0.00758278584069253,0.0126515439475503,0.0129193659904199,0.022967254383499,0.0180073211130476,0.0105531110250665,0.0111371380735822,0.00576250833199552,0.00569571891236562,0.00773383303780078,0.0108931341577712,0.00824694302601452,0.00775532618071488,0.0117659914818011,0.00933825334116699,0.00892076504567317,0.0133135581031503,0.00853161923444756,0.00534592222863269,0.0059175676725161,0.0137768235038631,0.0700957992800312,0.00907239982785236,0.0113640521955745,0.00719345999140039,0.19155678737666,0.010414472650793,0.0084121805483463,0.050629929628205,0.242554708875435,0.0409898863421689,0.00933399178344768,0.00559517301173122,0.0290420741391004,0.00505441039301193,0.00747383806764811,0.0144251914628542,0.00578277848505788,0.0787377246269181,0.0170327693281243
"actinic keratosis",0.0741110216569318,NA,0.0127189304761916,0.01656882991286,0.0125280568622334,0.0127559186649662,0.0307126295530674,0.0199349519576137,0.00536125461982997,0.007801875464599,0.00719379354535038,0.0220480444399703,0.0615421183031352,0.00654219902554551,0.00726011952179775,0.00509191928178682,0.0305951373390673,0.0129966353909823,0.00814673013441535,0.0703822687364032,0.119053365300871,0.0159711913647449,0.00694603945456809,0.0213184119901894,0.00973372859213694,0.00826390575937327,0.0126565787090141,0.00799112467794535,0.0337598285868763,0.00853417401651763,0.0153674348222821,0.00863146800652826,0.0242407570500173,0.00676555981147235,0.0454099925165672,0.084043907085175,0.00615250060751682,0.00834517971128002,0.0193016557922359,0.0114141811529661,0.0136057666651566,0.00741884142604956,0.0135608875262339,0.0131809950509485,0.00599796009178842,0.00559309964181403,0.00527778512713841,0.00854859558610036,0.00851066161571892,0.00786298571336507,0.0249979990328855,0.00442267537213204,0.00429382981270496,0.021257275930621,0.005313568509862,0.0136447749438423,0.00857596382713863,0.0251476718709709,0.00438750170694344,0.0669292782194284,0.0138951668948582,0.00560055291746364,0.0203365141101822,0.00880729974559611,0.00497428949750046,0.00539364616702285,0.00705649521392367,0.0184841310676715,0.0236666742721992,0.0824422663266886,0.00758668097292364,0.0120890468505066,0.0155720868747928,0.0794652740582141,0.00865298037081741,0.0159823900381198,0.00442188359280304,0.0131233511382316,0.0140462975876359,0.0224878179036516,0.00815643779441122,0.0053322822610438,0.0153106803932668,0.0803028881667333
"acute myeloid leukemia",0.00530569392173208,0.0127189304761916,NA,0.00638479368283449,0.0064271889899476,0.00593272531357833,0.0069689224952434,0.00545029561029854,0.00555494856305274,0.00584847701713801,0.00417744284878232,0.0120464020974423,0.00592241304431907,0.00468915416911293,0.0114109907594029,0.00513666895222959,0.0152630007261914,0.0140062260063834,0.00557564104280074,0.0127531687678478,0.0141000085706719,0.152989749656119,0.00634409856785435,0.0047242915012492,0.00431189019594682,0.00415759065032718,0.00775724720611093,0.00705811698168234,0.00425838438264634,0.0145084822735179,0.00543306771626646,0.0064488253370521,0.00522366587031163,0.00523270800792775,0.00735926906339709,0.0200390413221717,0.0166990138718214,0.00542097611886516,0.0481233635311413,0.0513653737119189,0.0807173747355975,0.00429037491655607,0.00762877017633565,0.00890981256954156,0.0078663915629584,0.0105054910418596,0.00565141736067203,0.00684405237980818,0.0281448581769176,0.00525359031974394,0.0219235776405739,0.00547145365669223,0.00376506539780193,0.0159604439855891,0.00748353207466182,0.00417744284878232,0.007376127025021,0.00785179276709004,0.007282082334833,0.0116503263361512,0.00756750204028854,0.00784369367880562,0.0058033695038213,0.00514569499333417,0.0047242915012492,0.00464116943215572,0.00464166206646472,0.00734208133168271,0.00768014778130472,0.00673720241395998,0.00423199175167682,0.00486401707019164,0.00602008274431058,0.00376506539780193,0.00638876434427414,0.00809097923960916,0.0111049537870769,0.0232514391174935,0.0986927891043147,0.014118666277381,0.00599793135090994,0.00559934543963965,0.00513666895222959,0.00855526750270365
"adrenal adenoma",0.00871013243006122,0.01656882991286,0.00638479368283449,NA,0.00641074531169487,0.00667208397226062,0.00468891470676541,0.00412198196308985,0.00739424088367464,0.00780057817863364,0.00489559600923983,0.0086795804848848,0.00548272936530786,0.00532269956105432,0.00376506539780193,0.00440501400877431,0.00804973803298639,0.00506400554561654,0.00651932239117744,0.0126929888284351,0.015105023157717,0.00760996273554193,0.00650190984253368,0.0123433378830719,0.0047242915012492,0.00405504287527941,0.00607905046532727,0.00913612401252832,0.00611007612849067,0.00439035299824085,0.00814138169651335,0.00611803618287028,0.0105543339303675,0.0091090760304254,0.0108767967160218,0.00762631163796695,0.00561428159841781,0.00448573057176521,0.00856437734959079,0.00898844093822474,0.00496179560023339,0.00662510262459622,0.00465920419528266,0.00376506539780193,0.00612082107248309,0.0124529523153644,0.00765655246849197,0.00574393845380025,0.00716457543735627,0.0125180550640091,0.0110387397606146,0.00547502653725529,0.00390473020227121,0.010156557881042,0.00438635162426223,0.00577676705299799,0.0061023263129038,0.00865040075286412,0.0160948481105273,0.00984517303185512,0.00829482042347036,0.0114697315835187,0.0142201324950351,0.00932939911483557,0.00405921371278358,0.0125436892477907,0.0084214676575995,0.118383070018234,0.010742875342502,0.00877739686398323,0.00428582022631045,0.0141878908306318,0.00485130456367848,0.00552703002878183,0.00706778194901627,0.00502656835741077,0.00490662037253245,0.0047242915012492,0.0104841569287663,0.0425011867499002,0.00631075993492782,0.0106178621590519,0.00662903069460892,0.00715481626315965
"alcoholism",0.00780493540522246,0.0125280568622334,0.0064271889899476,0.00641074531169487,NA,0.00932426425463608,0.00822442164109277,0.00654042645325372,0.017077457437098,0.00744049203289707,0.00641074370756248,0.0087673291278331,0.00529456950791344,0.0389985755840029,0.0206171339722165,0.0496670362361275,0.0113868543289435,0.015137604830693,0.00710664915811666,0.0357573602234766,0.0136399032186992,0.0076494035959753,0.00594752952154067,0.00647602138233289,0.0153821212461602,0.00597945037624949,0.00605528954894191,0.00687743613878503,0.00663828281738571,0.0117101792703415,0.00662662755329121,0.00758923141080312,0.0108267031439247,0.0105745068579452,0.0174427734916745,0.066412100657929,0.0141217282765549,0.00566599252184337,0.0170590193676109,0.0133703276076274,0.00771760489793122,0.00966702246390966,0.00674408481588395,0.0141576564066777,0.0104274679899031,0.00661468020211425,0.00504859068360492,0.00718667193055226,0.00612297187765235,0.00531542720802625,0.0216718738998991,0.049853293010931,0.0115332714252465,0.0164890297523015,0.00555860835316941,0.0215629157346191,0.01079312606623,0.0431348020992861,0.0415618823780464,0.0439467976651325,0.00874180206661152,0.0092153122911745,0.0441908564638099,0.0136472051977875,0.0119036819596439,0.00604468371840134,0.00432850934089901,0.00612553011006098,0.017371942773442,0.00462444864144443,0.00545284451961088,0.00915951640386071,0.00509134277043676,0.00687031307181599,0.00616883446823767,0.0098061642464879,0.00614958674065661,0.0100242306580934,0.00590347274171012,0.0138339136500639,0.00430028788332063,0.00852500819610462,0.0101013582112445,0.0140312845891906
"allergic asthma",0.0200480853499513,0.0127559186649662,0.00593272531357833,0.00667208397226062,0.00932426425463608,NA,0.0570676250065234,0.0121828616866034,0.00538714546229069,0.0182380095941467,0.317587894886171,0.00831222308398718,0.0665383002417371,0.00545873416035275,0.00941057503664407,0.00515373997145854,0.0144729802984374,0.00530004505936598,0.00908075875704792,0.0284873731113584,0.00599969611668749,0.0104557928868511,0.112961701195036,0.01901201416224,0.0406079163686532,0.0219472046413282,0.0134798515218391,0.00951298035763881,0.0136166598422166,0.0101864698923265,0.00698168034769444,0.0942287663842423,0.00988513796195339,0.00671062850744803,0.0176992193461805,0.0103694246760084,0.0191037059887291,0.0159987532070536,0.0115682180723471,0.0092471043235215,0.00808259732130776,0.00747052619545016,0.0622902269573432,0.012861349868477,0.0191590738915569,0.00992142919765653,0.0157637866356451,0.0614718330252322,0.0176297073778229,0.00577029330290543,0.00954048221921462,0.00563468352837287,0.0121288000422842,0.00857309307138742,0.0121575580155132,0.0180647322235109,0.0148421146317385,0.0098073321929139,0.0113324231251286,0.00874156638586318,0.0305895294562707,0.0231743298708404,0.00703494381190151,0.00851690863273941,0.00931649136572785,0.00724163879317979,0.0247021732316516,0.00856683870975803,0.0128887750384694,0.0369465911474446,0.015180915795288,0.00729304308692311,0.0233997332351897,0.00913667345995905,0.0373717120330274,0.0170963270453668,0.0131918231751465,0.0369534041909732,0.0142799809522235,0.0116783169669529,0.0165173944182557,0.010195254591625,0.0408503543989524,0.0058919268693564
"allergic contact dermatitis",0.14837768076114,0.0307126295530674,0.0069689224952434,0.00468891470676541,0.00822442164109277,0.0570676250065234,NA,0.0246805053053476,0.0059508703560034,0.0102710561130432,0.04868679937002,0.0107284401324902,0.26510024593821,0.00604649194701978,0.00518820492763289,0.00739469245699528,0.00962421062746442,0.00619095284844356,0.00746061877112998,0.0140381315122855,0.00801930607690376,0.00968388597780201,0.0174829278814301,0.0116668519855687,0.0656617531747856,0.0112437948015383,0.00649081743830162,0.0124174391706638,0.0430438982441331,0.00499616002133706,0.0126340354626798,0.00743910775263818,0.0132440961348319,0.00614380522272661,0.0111276520760109,0.014439291836791,0.0232500110899072,0.014669194956961,0.00986121119391441,0.00682858994000456,0.00604468371840134,0.00570332190382056,0.0126817684760104,0.0085839543689399,0.0107211501638871,0.0114062997806982,0.00901349966793954,0.0833365317590739,0.0118617444117087,0.0110999862732407,0.0363156034391172,0.0064351529847142,0.0131899569797204,0.0122101536879439,0.00845622328498076,0.044330735245297,0.0122217510338153,0.0115983008408032,0.00627361027182867,0.0095072188013287,0.0462499771697555,0.00635315479428877,0.00595623676872279,0.00781657112050221,0.0110927029023203,0.0068868260638278,0.0131206498436975,0.00786434389720659,0.00882207153421572,0.159538356016911,0.00753388052483729,0.0053288783904698,0.0637672119492012,0.115174688391609,0.0941926048769791,0.0208942111146855,0.00566124707539592,0.0946684740073967,0.00918820472101364,0.0132485773148993,0.00717288532788075,0.00639684491297549,0.0733683345066004,0.0103915491045452
"alopecia areata",0.0526501312737531,0.0199349519576137,0.00545029561029854,0.00412198196308985,0.00654042645325372,0.0121828616866034,0.0246805053053476,NA,0.0059339186958683,0.00637096887523319,0.0171745839518999,0.0103066602087401,0.0620740763992528,0.00533351739101631,0.00951871923498999,0.00521836018321597,0.00754251092654175,0.00376506539780193,0.0101220447453773,0.0123593353186928,0.0101560191428444,0.00878218452101479,0.00934877384238952,0.00490327267927777,0.0136591306856248,0.00594466444727955,0.010357366924434,0.00987785873220915,0.0908350595395435,0.0100387682195899,0.0115732342466823,0.0168223411043619,0.0053283673733961,0.00565396669449453,0.00887350793938501,0.00517946583969932,0.0158831110080672,0.0222089159120266,0.00527616501218704,0.00958965227442857,0.00547479965962633,0.00407961514598864,0.0132286828748329,0.00704556233200127,0.00967052249917031,0.00452750665649763,0.00767500846187763,0.0393555946524047,0.0158691849731892,0.00518867468480797,0.00565089029925761,0.00683588723827842,0.00415643918378356,0.00683382120069585,0.0117068244124749,0.0471048385370105,0.00646926678800115,0.0174489162585225,0.00603161525311425,0.00553676441771892,0.0156725381938547,0.0113282724696691,0.0057744625161113,0.00761388509192661,0.0461531402966588,0.0187740328172475,0.0102461495787188,0.0047242915012492,0.00679498356920261,0.0805913061837162,0.00694933839006571,0.00437919722237679,0.0164473651557835,0.068945348407459,0.0881163313474127,0.010300982366316,0.0082339083205296,0.0556884219968551,0.00615216195275822,0.00868527593064303,0.0176403297606337,0.00573550993760243,0.0144538995369854,0.00599744286117899
"alzheimer's disease",0.00675459728696148,0.00536125461982997,0.00555494856305274,0.00739424088367464,0.017077457437098,0.00538714546229069,0.0059508703560034,0.0059339186958683,NA,0.00790782325190585,0.00626657530953069,0.0174126310878923,0.00437383375833892,0.00812655262964334,0.0455719873675979,0.0346416927918232,0.00719182953161369,0.00440607766530405,0.0186297496144742,0.00607283230232411,0.00437650019064562,0.00615713891463416,0.00538103330756574,0.0084649666934308,0.00898203549240096,0.00611031579984334,0.00501124199365638,0.023268479408267,0.00734724601151394,0.0651145200625831,0.0420151927254841,0.0058997605814235,0.00716433900656096,0.00569218556020088,0.00730222728662522,0.00505247548266419,0.00551962399587822,0.00703107989073831,0.0047242915012492,0.00838558434379912,0.00588533933863856,0.103857662000007,0.00737278508824221,0.0144858745411468,0.012096759756896,0.0113327501248168,0.050000554749772,0.0082529813881498,0.00529213520509805,0.0117285591886699,0.00498504817653806,0.0195408611325272,0.0108057062708059,0.00496770109033917,0.00473640885431999,0.0680065105470742,0.0210111547422705,0.00531511386591934,0.012598801797379,0.00502519202675382,0.0100145914835677,0.0142618533696342,0.00609564330583813,0.109050424852188,0.0057726984478768,0.0148044807350919,0.0104942472747078,0.00687207753667121,0.00907967765583871,0.00610310402109412,0.00715813757153671,0.00574345048416034,0.00726332277272021,0.00601743639074975,0.00775473052847398,0.00697362159693373,0.00953940496381297,0.00600649000810191,0.007546918557292,0.00753551525080394,0.00769115314994927,0.0155351752657474,0.0068418413569415,0.00418292938247626
"aortic aneurysm",0.00504848226926077,0.007801875464599,0.00584847701713801,0.00780057817863364,0.00744049203289707,0.0182380095941467,0.0102710561130432,0.00637096887523319,0.00790782325190585,NA,0.0123441281721767,0.00917845192796364,0.00546796288650033,0.00544136666759124,0.0100592478367591,0.00441490938097925,0.00949944231712959,0.00487494040778145,0.0119407474873093,0.0110263301398305,0.00654415699500963,0.00830287549999269,0.00691019413287749,0.0135224047414494,0.0117622473741148,0.0101769292910862,0.0102081558147739,0.0273580065535912,0.00939049945440503,0.00595150848306191,0.00783192002835197,0.0169411862905276,0.0108847435326993,0.00809277444062897,0.0104506104421585,0.00832543838168427,0.00722853568018995,0.00918674165017593,0.00790642320661153,0.00715629268335107,0.0102957063387567,0.00860149781741948,0.0109717833775158,0.00741588033688189,0.0120760359207816,0.0177281954520494,0.0757166270843093,0.0140607393766549,0.0105536176417408,0.00488073246771942,0.0103433958667562,0.00525348474100385,0.0165108046504223,0.0080983791161327,0.00706717312608535,0.00864905325926396,0.14206861569799,0.0081508192862527,0.0069452103974334,0.00703058648563401,0.00640254842500003,0.00693170865993342,0.00672706083749072,0.0063381467365346,0.00592188611174115,0.00551261341040162,0.11125820809523,0.00745583712798344,0.0100923713236736,0.00897686920776727,0.051761507859777,0.00818507513375581,0.00974863145071126,0.00531524582766864,0.00888073655229495,0.0147616590518279,0.00663191463358959,0.00744019006534857,0.0128075096253557,0.0109956463065987,0.00687420204406245,0.00902583411723211,0.0103227390256926,0.00797551122358751
