code1,code2
L50,T81
H16,H44
E21,F48
I27,J44
A52,B37
B35,K58
F20,H83
L60,T45
M19,N71
K29,M35
I67,J02
B88,D64
G30,J45
G56,J13
L25,N39
G03,Q37
B44,R00
E53,T67
D33,Q61
H91,Y84
J43,N26
M31,R60
D64,G30
J20,Q31
F73,T68
J69,K06
F10,F92
D75,T48
I51,R09
C17,M00
E27,J06
H26,T48
E14,E29
M48,R61
D02,I71
D30,J93
F34,G57
H53,L60
D18,E25
E83,Q79
K86,N04
E58,J44
H61,T85
T69,Y53
D33,K56
A18,B26
D45,D50
C77,K59
B35,N17
G60,G72
E16,H25
R95,S42
H10,I01
L82,N83
D73,R51
D68,L27
G56,R60
J20,R27
I97,T82
T18,T69
E24,L98
E50,J18
I78,K63
B15,E41
G62,L30
I78,Q34
L74,S41
G24,I61
N27,Y57
C79,L94
C48,C74
J44,R40
E41,T66
C07,D10
C48,T69
D30,R40
C54,N92
M81,S20
R15,R21
T18,Y84
H10,I42
C25,K22
I12,J70
K31,M46
H21,K76
R53,R60
G62,K31
N32,P14
N19,R43
A88,K59
I77,J04
C77,N63
L08,T52
M10,R61
J04,J05
H02,J98
E78,R71
J30,L50
J06,J37
F48,G00
G25,M79
F40,K44
D27,Q82
I99,K22
J44,Q22
C91,K04
B25,N30
C16,R59
J13,K11
A23,N32
M19,Q39
G52,H35
K63,L72
A08,Q76
A06,E87
G63,H28
A87,B27
C70,E58
M62,S70
J99,L40
I51,N27
G63,H90
K91,N70
D21,L66
K92,T82
C16,J85
L60,M86
L93,M60
G83,J04
B25,G93
A41,T68
B40,I28
C41,D36
A38,A40
A19,B39
B38,D67
F98,Q79
G72,N25
E78,R17
H28,M14
D59,G03
C25,K80
C62,J70
N64,S40
D28,K66
C95,K40
G21,L30
I10,Y52
M95,Y84
C77,K05
G62,M70
H16,H33
H33,R60
J21,R79
G95,M19
E05,M48
I84,N82
S37,V91
H93,M19
T37,T48
C64,N43
D09,R54
G95,M89
C38,Q25
A18,N50
I13,R18
R54,S50
H54,K02
K58,N82
C00,H54
K38,R34
L84,M19
G58,G61
E72,J41
M93,R00
E05,I45
K61,K62
M15,M96
B69,N28
R13,S05
F07,R31
B37,L51
B86,Q66
N41,R39
A46,F20
I72,M25
E16,E29
H72,H80
B69,C71
D50,R29
H74,K56
A98,G41
G12,R44
I61,R94
K14,L98
A39,C72
C78,D29
D40,E86
C08,H11
H15,H60
G45,M89
S73,Y89
G00,M70
E23,F06
E55,I73
D50,I31
A87,D32
A32,J69
C06,C73
I26,R18
A52,D61
G23,R03
C04,L90
I08,R42
C01,E04
D31,R53
L08,T85
C16,R13
I37,K75
J35,N89
G35,S80
I85,J60
A40,N97
B68,L03
D86,I30
C80,J86
K29,K50
N82,Q68
L21,N30
D04,K75
F95,T70
N35,T37
R06,R07
E24,E73
A46,Q99
I31,J86
D35,J93
C41,K63
C46,I11
N48,O20
E16,K60
I65,Q63
L84,T84
C19,R60
R05,R25
F95,K20
G62,G82
G71,I74
N32,Q62
M35,R44
M45,R64
B30,J32
L42,R21
A04,K40
G30,S30
G83,J44
C15,M81
C79,D05
J30,R51
K75,L51
B35,H50
A18,N30
K56,K66
G91,M81
G56,H93
D33,R20
I08,I30
Q30,Q35
D68,T62
C80,L57
G56,G83
H60,L23
J62,N35
K08,M95
H20,N28
E23,K44
C18,N15
F50,Q05
E83,I07
H10,H47
F22,J69
T28,Y44
E75,I50
K44,R94
N80,Q43
C76,I51
E71,N39
I51,S80
K92,L05
E78,L53
I83,L84
A06,R18
G24,R96
G47,J32
A41,E86
J44,K41
C19,C57
N04,Y55
B67,N70
B96,F10
I43,I67
I82,J62
N39,N81
M77,N23
B55,E27
E23,G91
D58,T85
G00,G82
E83,I95
A30,E87
J33,N40
