umls	icd9cm	icd10	3_digit_icd9cm	level_2_icd10
C0156379	622.3	N88.1	622	N88
C0000774	251.5	E16.4	251	E16
C0043124	066.4|066.40	A92.3	066	A92
C0154286	280.0	D50.0	280	D50
C0158572	743.6	Q10	743	Q10
C1112530	528.6	K13.2	528	K13
C0026106	317	F70	317	F70
C0155176	373.3	H01.1	373	H01
C0156371	621.2	N85.2	621	N85
C0149512	461|461.9	J01|J01.9	461	J01
C0152427	755.0|755.00	Q69|Q69.9	755	Q69
C0496530	871.7	Y61.7	871	Y61
C0016977	575.9	K82.9	575	K82
C0160762	904.42	S85.5	904	S85
C0411169	761.5	P01.5	761	P01
C1292772	205.2	C92.2	205	C92
C3495604	440.2	I70.2	440	I70
C0151779	172|172.9	C43|C43.9	172	C43
C0154207	255.8	E27.8	255	E27
C0149504	349.82	G92	349	G92
C0008711	472.0	J31.0	472	J31
C0035012	099.3	M02.3	099	M02
C0161687	982.0	T52.2	982	T52
C0478014	748.1	Q30.8	748	Q30
C0155171	372.8|372.89	H11	372	H11
C0154055	229.8	D36.7	229	D36
C3662231	762.0	P02.0	762	P02
C0013504	122.8	B67.8	122	B67
C0153452	156.0	C23	156	C23
C0272407	289.59	D73.4	289	D73
C0161007	931	T16	931	T16
C0496137	996	T81.9	996	T81
C0154053	229	D36	229	D36
C0014583	379.00	H15.1	379	H15
C0153646	192.2	C72.0	192	C72
C0260463	V12	Z86	V12	Z86
C0029785	607.8|607.89	N48.8	607	N48
C0008533	286.1	D67	286	D67
C0153509	170|170.9	C40-C41.9|C41.9	170	C40-C41|C41
C0153629	190.4	C69.1	190	C69
C0086588	261	E41	261	E41
C0152244	733.22	M85.5	733	M85
C0010481	255.0	E24|E24.9	255	E24
C0153395	147.2	C11.2	147	C11
C0494362	277.8|277.89	E88.8	277	E88
C0001169	286.7	D68.4	286	D68
C0153323	134.1	B88.2	134	B88
C0260485	V14.1	Z88.1	V14	Z88
C0481121	932.2	Y42.4	932	Y42
C0005694	596.0	N32.0	596	N32
C0020517	995.3	T78.4	995	T78
C0155866	022.1|484.5	A22.1	022|484	A22
C0023484	203.1	C90.1	203	C90
C0155839	478|478.9|478.99	J30-J39.9|J39	478	J30-J39|J39
C0161617	973.6	T47.7	973	T47
C0013604	782.3	R60.9	782	R60
C0001957	291.0	F10.4	291	F10
C0495308	647.2	O98.3	647	O98
C0362065	V25.2	Z30.2	V25	Z30
C0020676	244.9	E03.9	244	E03
C0276253	484.1	B25.0	484	B25
C4282165	785.6	R59|R59.9	785	R59
C0154908	364.0|364.00	H20.0	364	H20
C0206504	384.2|384.20	H72|H72.9	384	H72
C0554634	090.7	A50.7	090	A50
C0026010	743.1|743.10|743.11	Q11.2	743	Q11
C0021364	606|606.9	N46	606	N46
C0032027	696.4	L44.0	696	L44
C0700645	V50.3	Z41.3	V50	Z41
C0153572	181	C58	181	C58
C0085584	348.3|348.30	G93.4	348	G93
C0035021	087|087.9	A68|A68.9	087	A68
C0039437	520.7	K00.7	520	K00
C0009806	564.0|564.00	K59.0	564	K59
C0155778	454	I83	454	I83
C0149627	222.1	D29.0	222	D29
C0085615	426.4	I45.0	426	I45
C0032650	727.51	M71.2	727	M71
C0022568	370|370.9	H16|H16.9	370	H16
C0039494	524.6|524.60	K07.6	524	K07
C0153254	112.81	B37.6	112	B37
C0266368	752.0	Q50.0	752	Q50
C0012558	032.1	A36.1	032	A36
C0398650	287.31	D69.3	287	D69
C0494736	534.9	K28.9	534	K28
C0040428	521.2	K03.1	521	K03
C0015230	782.1	R21	782	R21
C0155001	368.1|368.10	H53.1	368	H53
C1384631	534	K28	534	K28
C0345380	754.1	Q68.0	754	Q68
C0265740	748.1	Q30.1	748	Q30
C4551472	425.11|425.4	I42.1	425	I42
C0154254	273.0	D89.0	273	D89
C3463824	238.75	D46|D46.9	238	D46
C0036472	081.2	A75.3	081	A75
C1145670	518.81	J96.9	518	J96
C0451989	692.71	L55.0	692	L55
C1812614	942.0	T21.0	942	T21
C0034888	569.1	K62.3	569	K62
C4759702	592.9	N20.9	592	N20
C0156724	646.0	O31.0	646	O31
C0700639	750.5	Q40.0	750	Q40
C0271761	241.1	E04.2	241	E04
C0021933	560.0	K56.1	560	K56
C0155734	440.1	I70.1	440	I70
C0154189	251	E16	251	E16
C0266225	751.5	Q43.7	751	Q43
C0154777	360.2|360.20|360.4|360.40	H44.5	360	H44
C0271412	388.69	H92.2	388	H92
C0038525	430	I60|I60.9	430	I60
C0002902	740.0	Q00.0	740	Q00
C0264000	728.79	M72.1	728	M72
C0270088	767.0	P10.4	767	P10
C1306891	V69.0	Z72.3	V69	Z72
C0936250	054.0	B00.0	054	B00
C0019061	283.11	D59.3	283	D59
C0017407	351.1	G51.1	351	G51
C0153436	153.3	C18.7	153	C18
C0155890	495.6	J67.6	495	J67
C0452136	389.06	H90.0	389	H90
C0153400	148.1	C12	148	C12
C0477888	762.5	P02.5	762	P02
C0261858	939.6	Y49.6	939	Y49
C1112532	172.7	C43.7	172	C43
C0600040	595.1	N30.1	595	N30
C0917967	379.4|379.40	H57.0	379	H57
C0149654	312.9	F91|F91.9	312	F91
C0155822	471.1	J33.1	471	J33
C0851326	945.5	Y55.4	945	Y55
C0156312	608.3	N50.0	608	N50
C0178309	779.99	P96	779	P96
C0085622	344.5	G83.3	344	G83
C0546837	150|150.9	C15|C15.9	150	C15
C0029499	993.2	T70.2	993	T70
C0005592	495.2	J67.2	495	J67
C0411164	761.4	P01.4	761	P01
C0549126	V02.60	Z22.5	V02	Z22
C0153504	164.9	C38.3	164	C38
C0495833	901.1	S25.1	901	S25
C0261939	948.8	Y58.9	948	Y58
C0495168	639.1	O08.1	639	O08
C0547030	368|368.9	H53|H53.9	368	H53
C0260747	V53.1	Z46.0	V53	Z46
C1266194	201.4	C81.0	201	C81
C0270163	770.4	P28.0	770	P28
C0391870	790.0	R71	790	R71
C0029812	207|207.8	C94.7	207	C94
C0392037	134.2	B88.3	134	B88
C0156348	617.6	N80.6	617	N80
C0276089	482.82	J15.5	482	J15
C0036857	318.1	F72	318	F72
C0019572	704.1	L68.0	704	L68
C0154019	223.81	D30.4	223	D30
C0026896	358.0	G70.0	358	G70
C3495403	587	N26	587	N26
C0149889	565.1	K60.5	565	K60
C0155970	531.1	K25.1	531	K25
C0263472	705.89	L75.0	705	L75
C0017154	535.1	K29.4	535	K29
C0264227	461.8	J01.4	461	J01
