umls	mesh	icd10	level_2_icd10
C0016142	D005391	F63.1	F63
C0030481	D015493	G04.1	G04
C0010200	D003371	R05	R05
C0035344	D012178	H35.1	H35
C0034951	D012030	H52.7	H52
C0002895	D000755	D57	D57
C0039240	D013617	I47.1	I47
C0376356	D011293	N94.3	N94
C0041325	D014395	K67.3	K67
C0038220	D013226	G41|G41.9	G41
C0030477	D010260	F60.0	F60
C0006057	D001906	A05.1	A05
C0018991	D006429	G81|G81.9	G81
C0343101	C536693	L98.3	L98
C0014733	D004886	A46	A46
C0001940	D000425	F10.6	F10
C1403891	D014884	A39.1	A39
C0003635	D001072	R48.2	R48
C0011168	D003680	R13	R13
C1261251	C536523	Q52.0	Q52
C0005745	D001763	H02.4	H02
C0038644	D013398	R95	R95
C0266949	D014084	S03.2	S03
C0012242	D004066	K00-K93.9|K92.9	K00-K93|K92
C0342257	D048909	E14.8	E14
C0041324	D014394	A18.0	A18
C4520843	D011625	H11.0	H11
C0037116	D012829	J62	J62
C0026618	D009050	K00.3	K00
C0024031	D017116	M54.5	M54
C0009324	D003093	K51|K51.9	K51
C0272087	C580280	D74.0	D74
C0153594	D013736	C62|C62.9	C62
C0024633	D008309	K22.6	K22
C0003090	D000844	M24.6	M24
C0026703	D009083	E76.3	E76
C0034072	D011660	I27.9	I27
C0015674	D015673	G93.3	G93
C0009451	D006849	G91.0	G91
C0035012	D016918	M02.3	M02
C0018801	D006333	I50|I50.9	I50
C0023052	D007819	J38.4	J38
C0034212	D011711	L08.0	L08
C0025517	D008659	E70-E90.9|E88.9	E70-E90|E88
C0002962	D000787	I20|I20.9	I20
C0021051	D007153	D84.9	D84
C0162375	D006101	K10.1	K10
C0010520	D003490	R23.0	R23
C0014078	D004685	A92.2	A92
C0010324	D003414	E80.5	E80
C0040127	D013958	E05.5	E05
C0036262	D012532	B86	B86
C0031946	D010874	A67|A67.9	A67
C0014860	D004939	K22.3	K22
C0023346	D015439	A30.3	A30
C0013581	D004479	Q12.1	Q12
C0006114	D001929	G93.6	G93
C0023760	D008047	K13.0	K13
C0020538	D006973	I10-I15.9	I10-I15
C0039685	D013771	Q21.3	Q21
C0152936	D010930	A20.7	A20
C0020651	D007024	I95.1	I95
C0023470	D007951	C92|C92.9	C92
C0025469	D008640	I88.0	I88
C0022104	D043183	K58	K58
C0022972	D015624	G73.1	G73
C0042514	D017180	I47.2	I47
C0004044	D001237	R09.0|T71	R09|T71
C0079746	D016400	C83.4	C83
C0264886	D000075224	I45.9	I45
C0019338	D006557	B08.5	B08
C4721411	D010014	M89.5	M89
C0012546	D004165	A36|A36.9	A36
C0037061	D012806	J63.4	J63
C0002624	D000648	R41.2	R41
C0018924	D006395	M25.0	M25
C0035585	D012282	A75-A79.9|A79.9	A75-A79|A79
C0161409	D061285	S04.6	S04
C0700594	D011843	M54.1	M54
C0085077	D016463	L98.2	L98
C0086543	D002386	H26.9	H26
C0036415	D012593	P83.0	P83
C0007947	D002602	A57	A57
C0231337	D000375	R54	R54
C0040128	D013959	E00-E07.9|E07.9	E00-E07|E07
C0032045	D010922	O43|O43.9	O43
C0393560	D015140	F01.0	F01
C0020255	D006849	G91|G91.9	G91
C0021933	D007443	K56.1	K56
C0005747	D001764	G24.5	G24
C0030353	D010211	H47.1	H47
C0162442	D010267	L41.4	L41
C0341858	D004715|D062788	N80.0	N80
